Reprezentacja: binary, Selekcja: random, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: random, Fitness: 0.888222324303774
Reprezentacja: binary, Selekcja: random, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: swap, Fitness: 0.9432234524008385
Reprezentacja: binary, Selekcja: random, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: gauss, Fitness: 0.9982586579954753
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: single_point, Mutacja: random, Fitness: 0.9819035223941189
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: single_point, Mutacja: swap, Fitness: 0.9851090128036516
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: single_point, Mutacja: gauss, Fitness: 0.9999959853566388
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: two_points, Mutacja: random, Fitness: 0.996215713837036
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: two_points, Mutacja: swap, Fitness: 0.9930480181836953
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: two_points, Mutacja: gauss, Fitness: 0.9999818114179851
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: uniform, Mutacja: random, Fitness: 0.9608105464380927
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: uniform, Mutacja: swap, Fitness: 0.8688164969678548
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: uniform, Mutacja: gauss, Fitness: 0.9999857914693451
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: random, Fitness: 0.9686918769889126
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: swap, Fitness: 0.9949588127428592
Reprezentacja: real, Selekcja: tournament, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: gauss, Fitness: 0.9997414333522039
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: single_point, Mutacja: random, Fitness: 0.9971740241784238
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: single_point, Mutacja: swap, Fitness: 0.9821519772244561
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: single_point, Mutacja: gauss, Fitness: 0.9995685314167426
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: two_points, Mutacja: random, Fitness: 0.9914253761985896
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: two_points, Mutacja: swap, Fitness: 0.9926004661508968
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: two_points, Mutacja: gauss, Fitness: 0.9998019911177031
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: uniform, Mutacja: random, Fitness: 0.963822628945032
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: uniform, Mutacja: swap, Fitness: 0.9653062721431757
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: uniform, Mutacja: gauss, Fitness: 0.9998771638600913
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: random, Fitness: 0.9943977529129395
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: swap, Fitness: 0.9476088690891853
Reprezentacja: real, Selekcja: rws, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: gauss, Fitness: 0.9995271286802809
Reprezentacja: real, Selekcja: random, Krzy¿owanie: single_point, Mutacja: random, Fitness: 0.9921700717707116
Reprezentacja: real, Selekcja: random, Krzy¿owanie: single_point, Mutacja: swap, Fitness: 0.80980247745556
Reprezentacja: real, Selekcja: random, Krzy¿owanie: single_point, Mutacja: gauss, Fitness: 0.999349760009648
Reprezentacja: real, Selekcja: random, Krzy¿owanie: two_points, Mutacja: random, Fitness: 0.8831264051824416
Reprezentacja: real, Selekcja: random, Krzy¿owanie: two_points, Mutacja: swap, Fitness: 0.5255044567423728
Reprezentacja: real, Selekcja: random, Krzy¿owanie: two_points, Mutacja: gauss, Fitness: 0.9994064914332385
Reprezentacja: real, Selekcja: random, Krzy¿owanie: uniform, Mutacja: random, Fitness: 0.794268859347554
Reprezentacja: real, Selekcja: random, Krzy¿owanie: uniform, Mutacja: swap, Fitness: 0.5977300550866778
Reprezentacja: real, Selekcja: random, Krzy¿owanie: uniform, Mutacja: gauss, Fitness: 0.9997274709379671
Reprezentacja: real, Selekcja: random, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: random, Fitness: 0.925726798303271
Reprezentacja: real, Selekcja: random, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: swap, Fitness: 0.8948649991244603
Reprezentacja: real, Selekcja: random, Krzy¿owanie: <function custom_crossover at 0x0000013786CE0670>, Mutacja: gauss, Fitness: 0.980211519975719
